year,start_hour,member_casual,ride_count,average_ride_length_minutes
2019,0,casual,153,43.85
2019,1,casual,107,45.28
2019,2,casual,111,51.61
2019,3,casual,44,63.38
2019,4,casual,37,17.65
2019,5,casual,60,40.12
2019,6,casual,141,17.41
2019,7,casual,288,21.66
2019,8,casual,664,24.4
2019,9,casual,758,33.24
2019,10,casual,1092,42.85
2019,11,casual,1483,39.15
2019,12,casual,1801,40.58
2019,13,casual,2484,40.41
2019,14,casual,2520,37.13
2019,15,casual,2723,37.78
2019,16,casual,2555,34.35
2019,17,casual,2341,35.88
2019,18,casual,1496,36.77
2019,19,casual,833,32.8
2019,20,casual,504,41.46
2019,21,casual,395,39.29
2019,22,casual,341,40.31
2019,23,casual,232,28.19
2019,0,member,1541,12.77
2019,1,member,901,12.96
2019,2,member,614,12.78
2019,3,member,518,12.88
2019,4,member,956,8.56
2019,5,member,3878,9.86
2019,6,member,12874,10.21
2019,7,member,26930,10.58
2019,8,member,37266,11.16
2019,9,member,17033,10.43
2019,10,member,11345,10.89
2019,11,member,13445,11.32
2019,12,member,15342,11.17
2019,13,member,14866,11.37
2019,14,member,14800,11.81
2019,15,member,19898,11.64
2019,16,member,36715,11.77
2019,17,member,47627,12.27
2019,18,member,27281,12.35
2019,19,member,15850,11.41
2019,20,member,9423,11.75
2019,21,member,6513,13.17
2019,22,member,4012,11.09
2019,23,member,2278,12.93
2020,0,casual,312,109.85
2020,1,casual,224,64.07
2020,2,casual,137,182.29
2020,3,casual,101,96.28
2020,4,casual,58,1248.19
2020,5,casual,136,43.59
2020,6,casual,341,22.45
2020,7,casual,757,19.76
2020,8,casual,1345,149.21
2020,9,casual,1887,93.11
2020,10,casual,2758,152.03
2020,11,casual,3348,86.87
2020,12,casual,4245,98.2
2020,13,casual,5015,68.62
2020,14,casual,5406,72.6
2020,15,casual,5276,89.07
2020,16,casual,5110,66.15
2020,17,casual,4663,124.06
2020,18,casual,2776,77.91
2020,19,casual,1639,116.58
2020,20,casual,1031,69.21
2020,21,casual,903,257.01
2020,22,casual,596,151.45
2020,23,casual,415,76.28
2020,0,member,1416,11.04
2020,1,member,842,16.11
2020,2,member,515,12.18
2020,3,member,378,12.98
2020,4,member,1028,9.21
2020,5,member,5165,9.87
2020,6,member,14827,10.35
2020,7,member,31690,12.11
2020,8,member,41448,11.63
2020,9,member,18971,10.99
2020,10,member,12933,12.06
2020,11,member,15846,11.33
2020,12,member,18215,11.8
2020,13,member,18156,11.92
2020,14,member,17381,13.46
2020,15,member,23120,12.58
2020,16,member,39648,13.5
2020,17,member,48238,15.62
2020,18,member,28281,11.9
2020,19,member,16721,16.85
2020,20,member,9793,11.62
2020,21,member,7108,12.16
2020,22,member,4277,10.53
2020,23,member,2410,10.33
