year,day_of_week,day_name,member_casual,ride_count,average_ride_length_minutes,median_ride_length_minutes,ride_share_percent
2019,1,Sunday,casual,3766,36.23,23.8,16.26
2019,2,Monday,casual,1892,33.04,21.2,8.17
2019,3,Tuesday,casual,2728,37.29,22.6,11.78
2019,4,Wednesday,casual,2489,36.91,23.1,10.75
2019,5,Thursday,casual,2920,36.64,22.4,12.61
2019,6,Friday,casual,3375,35.57,22.0,14.57
2019,7,Saturday,casual,5993,39.91,25.4,25.87
2019,1,Sunday,member,24233,12.22,8.3,7.09
2019,2,Monday,member,48507,11.19,8.3,14.19
2019,3,Tuesday,member,58277,11.45,8.4,17.04
2019,4,Wednesday,member,57925,11.27,8.4,16.94
2019,5,Thursday,member,63983,11.09,8.3,18.71
2019,6,Friday,member,59672,11.31,8.2,17.45
2019,7,Saturday,member,29309,13.16,8.8,8.57
2020,1,Sunday,casual,14886,95.18,27.6,30.71
2020,2,Monday,casual,4854,73.9,13.0,10.01
2020,3,Tuesday,casual,5264,84.63,15.6,10.86
2020,4,Wednesday,casual,5933,74.99,20.7,12.24
2020,5,Thursday,casual,4895,125.86,16.0,10.1
2020,6,Friday,casual,5167,118.3,16.6,10.66
2020,7,Saturday,casual,7480,100.29,23.2,15.43
2020,1,Sunday,member,35964,15.82,9.8,9.5
2020,2,Monday,member,61923,12.98,8.5,16.36
2020,3,Tuesday,member,69697,11.53,8.6,18.42
2020,4,Wednesday,member,63978,11.66,8.5,16.91
2020,5,Thursday,member,61245,11.55,8.4,16.18
2020,6,Friday,member,55496,12.62,8.2,14.67
2020,7,Saturday,member,30104,15.5,8.7,7.96
